epoch,lr-Adam,step,train_binom_loss_epoch,train_control_loss_epoch,train_control_profile_pearson_epoch,train_d_log_odds_profile_pearson_epoch,train_eCLIP_loss_epoch,train_eCLIP_profile_pearson_epoch,train_loss,train_loss_epoch,train_pi_pearson_epoch,val_binom_loss_epoch,val_control_loss_epoch,val_control_profile_pearson_epoch,val_d_log_odds_profile_pearson_epoch,val_eCLIP_loss_epoch,val_eCLIP_profile_pearson_epoch,val_loss_epoch,val_pi_pearson_epoch
,0.001,0,,,,,,,,,,,,,,,,,
0,,49,,,,,,,58508.0,,,,,,,,,,
0,,99,,,,,,,34116.12890625,,,,,,,,,,
0,,149,,,,,,,11282.1904296875,,,,,,,,,,
0,,199,,,,,,,11332.767578125,,,,,,,,,,
0,,249,,,,,,,10958.876953125,,,,,,,,,,
0,,299,,,,,,,11137.1953125,,,,,,,,,,
0,,349,,,,,,,7130.66357421875,,,,,,,,,,
0,,399,,,,,,,11158.904296875,,,,,,,,,,
0,,449,,,,,,,6673.95703125,,,,,,,,,,
0,,499,,,,,,,6518.14111328125,,,,,,,,,,
0,,549,,,,,,,6147.029296875,,,,,,,,,,
0,,599,,,,,,,4270.6552734375,,,,,,,,,,
0,,649,,,,,,,4755.2802734375,,,,,,,,,,
0,,699,,,,,,,7017.04345703125,,,,,,,,,,
0,,749,,,,,,,4325.05224609375,,,,,,,,,,
0,,799,,,,,,,17252.486328125,,,,,,,,,,
0,,849,,,,,,,4909.611328125,,,,,,,,,,
0,,899,,,,,,,17865.23046875,,,,,,,,,,
0,,949,,,,,,,2909.98486328125,,,,,,,,,,
0,,999,,,,,,,6911.41015625,,,,,,,,,,
0,,1049,,,,,,,3248.121826171875,,,,,,,,,,
0,,1099,,,,,,,2407.1533203125,,,,,,,,,,
0,,1149,,,,,,,3998.578125,,,,,,,,,,
0,,1199,,,,,,,7268.826171875,,,,,,,,,,
0,,1249,,,,,,,8165.0,,,,,,,,,,
0,,1299,,,,,,,3514.374755859375,,,,,,,,,,
0,,1349,,,,,,,2800.490478515625,,,,,,,,,,
0,,1399,,,,,,,3861.018310546875,,,,,,,,,,
0,,1449,,,,,,,2676.431640625,,,,,,,,,,
0,,1499,,,,,,,2962.0830078125,,,,,,,,,,
0,,1549,,,,,,,2280.578125,,,,,,,,,,
0,,1599,,,,,,,5166.7626953125,,,,,,,,,,
0,,1649,,,,,,,3447.099609375,,,,,,,,,,
0,,1661,,,,,,,,,,173.6898956298828,1227.244873046875,0.14180098474025726,0.15491531789302826,989.3550415039062,0.3413943648338318,2576.75048828125,0.2900966703891754
0,,1661,181.86366271972656,3759.70703125,0.055310606956481934,0.2361346036195755,4840.39794921875,0.15038293600082397,,8968.8203125,0.24089106917381287,,,,,,,,
,0.001,1662,,,,,,,,,,,,,,,,,
1,,1699,,,,,,,2690.474609375,,,,,,,,,,
1,,1749,,,,,,,3965.96240234375,,,,,,,,,,
1,,1799,,,,,,,2581.3271484375,,,,,,,,,,
1,,1849,,,,,,,3582.66552734375,,,,,,,,,,
1,,1899,,,,,,,1620.217529296875,,,,,,,,,,
1,,1949,,,,,,,1689.054443359375,,,,,,,,,,
1,,1999,,,,,,,2086.121826171875,,,,,,,,,,
1,,2049,,,,,,,1769.0888671875,,,,,,,,,,
